X,Y,OBJECTID,WARD,LOCATION,COUNT_,INSTALLYEAR,X,Y
-77.020256881763856,38.950811672467466,1,4,600 Farragut St. NW,2,FY-08,398244.29,142545.16
-77.016130934424751,38.952055186181738,2,4,300 Gallatin St. NW,2,FY-08,398601.96,142683.13
-77.012615473371469,38.912814084399983,3,5,Unit Blk R Street NW,2,FY-08,398906.08,138326.98
-77.012416890195098,38.913954741500618,4,5,Unit  BLK S Street NW (2) Tables,2,FY-08,398923.32,138453.6
-77.00630189025766,38.912017447587139,5,5,Unit & 100 BLK Quincy St NE (2) 12FT,2,FY-08,399453.64,138238.49
-77.006171265615919,38.910821867449918,6,5,Unit & 100 BLK Q St NE (2) 22FT,2,FY-08,399464.96,138105.77
-77.00630189025766,38.912017447587139,7,5,Unit  Blk Quincy Pl NW (12),2,FY-08,399453.64,138238.49
-77.012850530131814,38.920240344674802,8,5,100 Blk Adams St. NW,2,FY-08,398885.81001292,139151.35958256
-77.010598013443641,38.920238672767027,9,5,Unit Blk Adams St. NW,2,FY-08,399081.1465251,139151.14889456
-76.982687419400051,38.921219619643281,10,5,2300 Blk 15th Street NE,2,FY-08,401501.51123135,139260.13116666
-76.992428001916622,38.925055448687786,11,5,2700 Blk 10th St. NE ,2,FY-08,400656.79167856,139685.82553506
-76.987446948065354,38.931735145428448,12,5,1300 Blk Lawrence St. NE btw 13th & 14th,2,FY-08,401088.61372696,140427.37673575
-77.018801474415625,38.955413977732981,13,5,400 Blk Jefferson St NW,2,FY-08,398370.55292444,143056.03075419
-77.012672841022422,38.913164232335404,14,6,Unit blk Randolph pl NW  (2) 22ft,2,FY-08,398901.11,138365.85
-76.983654907393472,38.897699950409162,15,6,"15th Street , F Street & Tenn Ave NE (raised cross walk)",2,FY-08,401418.07999927,136649.23999624
-77.037074644971753,38.909075285226564,16,6,1500 Islamic Way,2,FY-08,396784.61,137912.52
-76.989280226080922,38.878799618450486,17,6,1200 Blk Potomac Ave SE,2,FY-08,400930.34879882,134551.08415429
-76.988038498612596,38.879008725724169,18,6,"1300 Blk Potomac Ave SE  (22"") ",2,FY-08,401038.09,134574.31
-76.930798766459873,38.885961872248842,19,7,200 Blk 50th St SE (2),2,FY-08,406004.16,135348.37
-76.931516476214782,38.88682106173701,20,7,4900 Blk B St SE (2),2,FY-08,405941.81933147,135443.69967512
-76.929381023216166,38.88584228923304,21,7,5000 Blk Bass Pl SE (2),2,FY-08,406127.17494764,135335.18956302
-76.980634998531428,38.855168604353956,22,7,1700 Blk Gainesville St SE (2),2,FY-08,401681.04838351,131927.99138386
-76.962841701152499,38.864406207083462,23,7,2100 Blk 31st Street SE  (12),2,FY-08,403225.06,132953.91
-76.976419012178823,38.895245015212389,24,7,400 Blk 20th St NE   (12),2,FY-08,402045.84,136376.86
-76.956961808446195,38.894960207973654,25,7,3400 Dix St. NE,2,FY-08,403733.76,136345.86
-76.959382901376571,38.893750800298577,26,7,3300 Clay St NE,2,FY-08,403523.79,136211.51
-77.010132068745463,38.825874364074473,27,7,Unit Blk Elmira St. SW,2,FY-08,399120.39,128676
-76.954677279732635,38.860583214161217,28,7,3600 Blk Bangor St. SE,2,FY-08,403933.8372816,132529.85013642
-76.979016654275455,38.865673033506759,29,8,18th & Good Hope Rd (2),2,FY-08,401821.25001564,133094.09000894
